application_id,credit_score,risk_label,cloud_cpu_hours,cloud_storage_gb,estimated_cost
5b54199a-0bd7-4a34-bf62-f1e0a89b7eeb,775,Low,0.5,1.2,0.22
34bb30e2-bddf-4df7-adaa-f797d5b55969,840,Low,0.5,1.2,0.22
16ed9ab1-08d8-4a9d-a7c9-a59c84f50d79,714,Low,0.5,1.2,0.22
9472f434-49a6-459c-ba7a-ca873869eab0,785,Low,0.5,1.2,0.22
336c8e21-c3a7-423e-bac0-81afa55c0d5c,771,Low,0.5,1.2,0.22
b5858202-2bbc-4dd1-b140-40e197d4e926,792,Low,0.5,1.2,0.22
5b761c64-6c46-4937-bff8-1338201badb6,832,Low,0.5,1.2,0.22
176c0ee4-ec5c-4eba-b461-8c3520c1f7bc,769,Low,0.5,1.2,0.22
a0f91abc-26d2-44c5-99ae-cfbacc7522ce,809,Low,0.5,1.2,0.22
8d492fa7-f326-426f-972d-1b5ebb85c841,846,Low,0.5,1.2,0.22
42599b83-6638-4e3c-abf0-af18f83c8ec9,847,Low,0.5,1.2,0.22
c7763b99-428b-4522-9543-7a3bab15fc3c,794,Low,0.5,1.2,0.22
f948e9f0-c0cc-42b7-a73b-87e69bd6f6d1,793,Low,0.5,1.2,0.22
4d5b5c1d-328e-4cab-8007-7bbdd4fe4c8b,725,Low,0.5,1.2,0.22
88188daa-7ee5-430f-b849-3779d08a6064,831,Low,0.5,1.2,0.22
d782ad91-93ed-42e2-a21b-a4488a91d661,769,Low,0.5,1.2,0.22
e0cc730f-29a1-4a1a-a6e2-f3706c37bde0,732,Low,0.5,1.2,0.22
a970ea04-244a-46a8-9463-0bcada5d4227,739,Low,0.5,1.2,0.22
1f0e4c4e-a8d4-49f4-b7c8-0fe6961bbfce,803,Low,0.5,1.2,0.22
a3a51a4a-d699-49e7-ba90-32a21c053d8e,764,Low,0.5,1.2,0.22
916ae5c4-f088-44ed-8ac1-36e43f08eb3a,832,Low,0.5,1.2,0.22
90ae49f7-35ae-42c3-9929-9cdc2256c0e3,793,Low,0.5,1.2,0.22
2652ff72-0b01-4db1-8486-617a11148182,728,Low,0.5,1.2,0.22
71deb497-198f-490d-b86a-ee0ddd471a11,772,Low,0.5,1.2,0.22
181b1a0a-2542-4666-9b9e-402083fb4078,816,Low,0.5,1.2,0.22
cb13cb53-340c-487a-b4b7-aabcb308db4e,847,Low,0.5,1.2,0.22
7b8c762b-7eb6-4b5e-a757-8526d93e3a19,831,Low,0.5,1.2,0.22
94a9a4da-2462-44da-9cea-44d304df17be,798,Low,0.5,1.2,0.22
581c2ed0-50ac-442e-b709-bf45ce805766,740,Low,0.5,1.2,0.22
b11aa35b-f5d9-48bc-bf08-9f427d9fbdd2,762,Low,0.5,1.2,0.22
dc4e5317-2757-451f-9fbc-7ecee47083bb,768,Low,0.5,1.2,0.22
4c66379a-f4d5-4ec6-83e2-29d3703b4e7e,731,Low,0.5,1.2,0.22
5355717a-a501-49ff-bfb8-6ed77adec477,723,Low,0.5,1.2,0.22
64130af6-890b-429d-b0e5-c7345d280f29,793,Low,0.5,1.2,0.22
298f0310-c7f4-40ad-8a85-a86fcf2c4218,709,Low,0.5,1.2,0.22
f40707db-6129-4d0d-80d3-b555034d3631,754,Low,0.5,1.2,0.22
a1275cc4-e1af-4fb5-b0bb-4cc688a52d84,815,Low,0.5,1.2,0.22
02d25a70-3c74-4df2-8f58-29906602bb67,719,Low,0.5,1.2,0.22
94828164-3d48-4897-94cd-eb1ff66205cb,741,Low,0.5,1.2,0.22
aa99ec63-6dbd-448a-bcbd-cdddc689b492,757,Low,0.5,1.2,0.22
f8aebc5d-f7b3-46ce-bc98-30524a2e3ca4,721,Low,0.5,1.2,0.22
8d46e507-64f3-4c8f-9f91-8afb63eec59f,747,Low,0.5,1.2,0.22
