application_id,age,annual_income,loan_amount,credit_history_length,previous_defaults,employment_type,credit_score,risk_label
5b54199a-0bd7-4a34-bf62-f1e0a89b7eeb,46,62925,29383,12,2,Self-Employed,775,Low
34bb30e2-bddf-4df7-adaa-f797d5b55969,21,78616,21949,8,0,Unemployed,840,Low
16ed9ab1-08d8-4a9d-a7c9-a59c84f50d79,31,34610,15040,12,1,Self-Employed,714,Low
9472f434-49a6-459c-ba7a-ca873869eab0,63,112669,4848,9,2,Unemployed,785,Low
336c8e21-c3a7-423e-bac0-81afa55c0d5c,54,55495,23625,18,2,Self-Employed,771,Low
b5858202-2bbc-4dd1-b140-40e197d4e926,46,116043,17001,3,3,Salaried,792,Low
5b761c64-6c46-4937-bff8-1338201badb6,65,63274,6293,14,2,Unemployed,832,Low
176c0ee4-ec5c-4eba-b461-8c3520c1f7bc,46,39188,10085,4,0,Unemployed,769,Low
a0f91abc-26d2-44c5-99ae-cfbacc7522ce,43,97765,13214,5,3,Unemployed,809,Low
8d492fa7-f326-426f-972d-1b5ebb85c841,51,46131,14127,13,1,Salaried,846,Low
42599b83-6638-4e3c-abf0-af18f83c8ec9,48,67085,27835,1,2,Self-Employed,847,Low
c7763b99-428b-4522-9543-7a3bab15fc3c,64,58477,19176,20,3,Salaried,794,Low
f948e9f0-c0cc-42b7-a73b-87e69bd6f6d1,52,92717,9393,20,1,Self-Employed,793,Low
4d5b5c1d-328e-4cab-8007-7bbdd4fe4c8b,25,76534,16399,15,1,Self-Employed,725,Low
88188daa-7ee5-430f-b849-3779d08a6064,23,92415,19943,4,1,Salaried,831,Low
d782ad91-93ed-42e2-a21b-a4488a91d661,38,99095,19317,20,3,Salaried,769,Low
e0cc730f-29a1-4a1a-a6e2-f3706c37bde0,63,71794,3452,9,1,Salaried,732,Low
a970ea04-244a-46a8-9463-0bcada5d4227,52,63851,26592,6,0,Self-Employed,739,Low
1f0e4c4e-a8d4-49f4-b7c8-0fe6961bbfce,35,112590,4717,3,1,Salaried,803,Low
a3a51a4a-d699-49e7-ba90-32a21c053d8e,50,92419,17080,17,3,Self-Employed,764,Low
916ae5c4-f088-44ed-8ac1-36e43f08eb3a,50,32861,5406,13,3,Self-Employed,832,Low
90ae49f7-35ae-42c3-9929-9cdc2256c0e3,30,45549,28410,1,0,Self-Employed,793,Low
2652ff72-0b01-4db1-8486-617a11148182,32,39817,22126,1,1,Unemployed,728,Low
71deb497-198f-490d-b86a-ee0ddd471a11,34,83551,21102,11,0,Unemployed,772,Low
181b1a0a-2542-4666-9b9e-402083fb4078,33,35805,20496,19,1,Salaried,816,Low
cb13cb53-340c-487a-b4b7-aabcb308db4e,41,100419,28485,10,3,Unemployed,847,Low
7b8c762b-7eb6-4b5e-a757-8526d93e3a19,65,39610,17077,7,2,Salaried,831,Low
94a9a4da-2462-44da-9cea-44d304df17be,31,102579,25560,8,3,Self-Employed,798,Low
581c2ed0-50ac-442e-b709-bf45ce805766,45,64639,10285,13,0,Unemployed,740,Low
b11aa35b-f5d9-48bc-bf08-9f427d9fbdd2,49,56921,25967,2,0,Salaried,762,Low
dc4e5317-2757-451f-9fbc-7ecee47083bb,60,92556,23912,17,1,Self-Employed,768,Low
4c66379a-f4d5-4ec6-83e2-29d3703b4e7e,37,49692,4983,20,3,Salaried,731,Low
5355717a-a501-49ff-bfb8-6ed77adec477,22,80766,9894,14,1,Unemployed,723,Low
64130af6-890b-429d-b0e5-c7345d280f29,50,47731,22015,12,0,Salaried,793,Low
298f0310-c7f4-40ad-8a85-a86fcf2c4218,47,73062,10959,19,1,Salaried,709,Low
f40707db-6129-4d0d-80d3-b555034d3631,22,74600,18885,15,3,Salaried,754,Low
a1275cc4-e1af-4fb5-b0bb-4cc688a52d84,61,93800,4079,5,0,Self-Employed,815,Low
02d25a70-3c74-4df2-8f58-29906602bb67,37,95618,7532,13,3,Unemployed,719,Low
94828164-3d48-4897-94cd-eb1ff66205cb,21,39300,27603,10,2,Unemployed,741,Low
aa99ec63-6dbd-448a-bcbd-cdddc689b492,53,50722,26304,6,1,Salaried,757,Low
f8aebc5d-f7b3-46ce-bc98-30524a2e3ca4,24,60175,4131,4,1,Unemployed,721,Low
8d46e507-64f3-4c8f-9f91-8afb63eec59f,63,101709,22269,14,2,Self-Employed,747,Low
a3271329-d624-4a54-b9f9-7ff0679d40a9,48,92765,26743,17,1,Unemployed,720,Low
02573f46-5633-4652-8f3d-e4d7c7852063,48,106741,28621,8,2,Salaried,799,Low
e04c861a-010c-4ae6-a3c9-de9f26ccce4f,64,68679,28834,19,2,Self-Employed,742,Low
137b783a-85c7-42de-939a-da761b3f3a34,63,72104,27260,14,0,Salaried,836,Low
829a3f1b-8b9b-4a36-b012-b0c391ce1aee,24,66074,15927,20,2,Self-Employed,800,Low
7b84678e-7d77-4008-91d9-760879ef653f,53,107110,18979,10,0,Self-Employed,826,Low
75098738-f7c5-4b14-b327-709412157025,26,44922,7249,15,3,Salaried,836,Low
1d867ca7-4bf6-4a4f-9d66-1ca38de0b8f1,55,98866,4778,3,3,Unemployed,772,Low
17114f23-1c8c-4966-9115-4d6d4ee8a56b,40,107414,15989,3,2,Self-Employed,719,Low
1811df9e-c25b-4edf-a88f-e5ad9cc9b2dc,56,100361,19085,5,1,Self-Employed,765,Low
1c953d3e-99b5-458e-9d18-0ae85d15c08a,50,43620,13680,7,2,Unemployed,841,Low
42ce2f91-2084-4ea1-abf6-1ba8cbbeb4b8,34,119195,27429,3,3,Unemployed,746,Low
001bb32a-8a1e-4fe4-8bb2-75fd1b2a35ac,53,82700,17037,15,2,Unemployed,709,Low
527005e0-d7db-4704-aa5b-176892089e4c,54,57263,19760,19,3,Unemployed,789,Low
00a21d27-b74b-49f6-8d76-86924823fde4,40,98025,6564,12,3,Salaried,742,Low
daee06e7-6a6d-47f6-91b1-246187970437,22,94531,21993,20,0,Salaried,709,Low
80130b33-097a-433c-a831-a259912911b0,49,99541,16354,14,3,Unemployed,722,Low
848e708b-0460-41e8-80e5-170b7a1b2842,46,110736,29474,19,0,Unemployed,820,Low
771595a2-6fec-4c30-8aa1-b17fc4a4ef58,27,71384,14713,9,0,Self-Employed,833,Low
533af81c-3e78-4a63-a9f2-6443826fafc6,33,58849,15893,1,2,Unemployed,739,Low
8b7449a5-c28e-4a25-a90e-2c1eb6fd350b,37,112915,7376,5,1,Self-Employed,725,Low
c565a9da-22d1-4277-93ce-4e52d2435a4f,63,93134,6729,5,2,Self-Employed,838,Low
8539c64b-b467-4809-a2f9-0d6034866ddc,45,119120,23801,18,2,Self-Employed,774,Low
780b7471-b98c-44f4-9fb8-713cc1fd64d1,54,36281,16490,4,3,Unemployed,822,Low
dcca1dcf-3205-459d-afa2-1b9430686038,31,113373,17894,12,0,Unemployed,736,Low
01813481-a6c6-4b6f-9543-68ebd205d292,63,93663,6582,8,1,Unemployed,790,Low
d3c63e11-b280-4d63-97a4-a9ae5146cf4f,51,44188,24574,1,3,Self-Employed,745,Low
744309c7-3837-420f-be3d-cf4c2f7cd851,50,45945,14783,6,0,Salaried,807,Low
05570d56-0c06-4e14-ac42-5e7cceb2cd10,28,88239,9072,13,1,Self-Employed,812,Low
1184dff3-12fd-42bf-902b-5d568340c11e,34,61145,28360,3,0,Unemployed,721,Low
513c95c4-3a58-4c16-81d5-0b3e45e07633,30,43322,3739,17,2,Salaried,834,Low
3f898ea8-979e-4e27-9c89-59c557976717,48,104360,10428,6,1,Salaried,757,Low
ccfe67b7-e72b-45ef-bcd9-29d4dd9c23f7,28,108207,23538,8,0,Unemployed,819,Low
38cd037d-7da3-4782-ae84-61beb4dac07f,50,114954,24251,20,2,Self-Employed,712,Low
988aae55-11a2-4dcf-94b4-ee550fd82652,27,61566,20665,8,2,Salaried,801,Low
09c72a62-0e96-49c0-b9a6-2deecf83d69f,24,27262,25512,19,3,Self-Employed,802,Low
b002a72a-3cbf-42e9-bbcb-7ba885c7f1e8,43,32972,11673,16,3,Unemployed,770,Low
3232c8d2-0618-499b-b234-78b21c54b611,34,70359,18468,3,3,Self-Employed,848,Low
1144d1bf-9999-4c6b-a4cc-7b8b48b4065e,47,101896,28760,7,2,Self-Employed,760,Low
236598f9-4911-47bb-b2e0-0b4902b18bac,50,93652,27812,12,3,Self-Employed,793,Low
6d6e6b53-378a-4bca-9a36-15023e81e82b,62,31134,10900,17,3,Self-Employed,785,Low
10528a85-8e15-4043-9696-61b16a11cc34,27,44930,22283,2,3,Self-Employed,773,Low
79f6c127-21e9-409e-802b-7f139684cb77,39,111878,12735,11,0,Salaried,764,Low
c38aef28-9269-4e14-bb51-68cfe54d58eb,29,112414,14757,13,1,Unemployed,806,Low
cb382767-9e6b-4383-ae0e-8a697095a2e9,59,95985,13549,16,3,Salaried,815,Low
c4af3c93-1deb-4a61-81d0-87781c39c369,21,50550,17736,8,3,Self-Employed,769,Low
e7d8abae-df14-4091-a8d3-b80e31d2d9cf,49,28656,4884,18,0,Salaried,812,Low
aababb79-c0b8-4ae9-a708-29a3ceaec076,30,56804,20736,3,0,Self-Employed,768,Low
77907d76-b820-4e06-908f-92c017ffea2e,46,107892,7637,20,0,Salaried,782,Low
d8a0471b-cad5-417b-ab7a-6b40de4c4436,34,95159,18937,13,3,Salaried,815,Low
83f5405a-a2b6-422d-9455-81b17394dba0,55,64069,9107,17,3,Salaried,838,Low
e0b41f3b-40a4-4b6c-9cd2-35ce223d4c23,47,60190,4790,12,2,Self-Employed,843,Low
14fd4016-25aa-4c86-85e0-152cf62e9a10,54,107586,25982,9,3,Self-Employed,706,Low
cc5f3847-92c1-4c96-aa39-bd13cd80f1d6,57,57380,20150,19,2,Unemployed,847,Low
0a485847-c97c-4c96-a26e-d33617d43aff,59,113140,16626,13,2,Self-Employed,765,Low
c0a2b848-8cff-4860-ab95-582d9c0059e8,29,70318,20003,19,3,Unemployed,826,Low
322961e4-efa1-4e84-83c7-d71049ce47e2,46,34824,22843,13,1,Unemployed,799,Low
48da47a5-2690-44c1-ba89-5dc9ca7a2ffb,42,108717,25520,6,3,Salaried,833,Low
c88d7afa-de07-484f-a643-95723b74c4d2,37,41387,10535,10,3,Unemployed,790,Low
86e31e9f-86b3-493a-bd25-b8f12ae3ed1e,64,94726,16182,9,0,Salaried,795,Low
487b48d8-725c-47b2-a948-b94e1df576e4,49,35653,11436,14,1,Unemployed,739,Low
0d7bca36-7de3-46c1-98f7-d04ce7062207,25,34230,7529,3,0,Unemployed,773,Low
50cd7aaa-aa6a-463f-811b-4a8711928651,64,90026,5225,15,3,Salaried,846,Low
ee79af0b-a662-4743-b57a-978483ec1e54,33,65502,7894,14,2,Self-Employed,718,Low
fef5e9dc-a942-4aa6-a5d8-e8eecd80c73f,65,56618,13299,16,0,Unemployed,731,Low
